pid,mcid,nctid,criterion
4,47085,NCT01858168,Known hypersensitivity to olaparib or any of the excipients of the product
4,47136,NCT01850758,Full range of motion of the affected knee (other than restriction clearly due to effusion)
4,47509,NCT01821781,Uncontrolled invasive fungal or bacterial infections within 1 month prior to starting alemtuzumab
4,48154,NCT01773707,Are immunodeficient or have clinically significant chronic lymphopenia.
4,49249,NCT01681264,"Major psychiatric disorders that required hospitalization in the past 6 months such as: major depression, bipolar disorder, schizophrenia, anxiety disorder, or psychotic disorders"
4,50457,NCT01562626,Expected survival of at least 3 months.
4,50656,NCT01547429,"Pregnant, lactating, or plans to become pregnant during the course of this study"
4,51067,NCT01494662,Participants who have had chemotherapy or radiotherapy (including investigational agents) within 2 weeks prior to entering the study or those who have not recovered adequately from adverse events due to agents administered more than 4 weeks earlier (excluding alopecia). Washout from trastuzumab or hormonal therapy is not required.
4,51323,NCT01444209,The patient's Zubrod performance status must be 0-3.
4,52238,NCT01270516,"If the patient has a recent history of variceal bleeding,"
4,52746,NCT01061515,"Patients receiving antiretroviral therapy Highly Active Anti Retroviral Treatment (HAART) for HIV infection are excluded from the study because of possible pharmacokinetic interactions. Appropriate studies will be undertaken in patients receiving HAART therapy, when indicated."
4,53526,NCT00801489,Patients of child bearing potential should practice effective methods of contraception
