pid,mcid,nctid,criterion
1,21137,NCT02593526,Unable to verbally communicate in English.
1,21411,NCT02589353,smokers
1,22074,NCT02579096,Patients with malignancies that are currently active with exception of non-melanoma skin cancer
1,22076,NCT02579096,Patients with myelodysplasia and hemoglobin of < 8.5 mg/dL
1,22440,NCT02573376,"Decompensated liver disease (i.e., ascites, history of esophageal variceal bleeding, hepatic encephalopathy)"
1,22454,NCT02573246,Current or recent (within the past 6 months) substance dependence disorder(excluding nicotine and caffeine)
1,22477,NCT02572856,Pregnant and lactating females
1,23810,NCT02547818,"Pregnancy or lactation for female subjects of child-bearing potential (i.e., < two years post-menopausal or not surgically sterile);"
1,25146,NCT02521103,Patient has a failed unicondylar knee prosthesis.
1,25782,NCT02513797,"Documented symptomatic carotid disease, defined as > 70% stenosis or > 50% stenosis with symptoms;"
1,26481,NCT02501096,History of organ allograft (Participant has had an allogenic tissue/solid organ transplant)
1,26504,NCT02500602,Individuals considered an immediate suicide risk or who are likely to require hospitalization during the course of the study.
1,27153,NCT02489591,Patients with Obstructive Sleep Apnea
1,28350,NCT02469129,Accepts Healthy Volunteers: Yes
1,27877,NCT02477124,Ability to understand and the willingness to sign a written informed consent document.
1,28108,NCT02473276,Past history of headache syndromes- such as migraine and cluster headaches
1,28717,NCT02465034,History of substance abuse
1,28857,NCT02463305,Local or systemic complications or other pathological states requiring therapy with corticosteroids and/or immunosuppressive agents.
1,29011,NCT02459119,Dehydration Grade >1 NCI-CTCAE v4.0.
1,29577,NCT02446236,Normal renal function defined as serum creatinine less than 2.
1,29985,NCT02437370,Have a performance status of 0 to 1 on the Zubrod performance scale
1,30622,NCT02420977,"Ages Eligible for Study: 18 Years to 100 Years   (Adult, Older Adult)"
1,31535,NCT02403193,"Measurable disease, defined as at least one lesion that can be accurately measured in at least one dimension (longest diameter to be recorded for non-nodal lesions and short axis for nodal lesions) as >20 mm with conventional techniques or as >10 mm with spiral computed tomography (CT) scan, Magnetic resonance imaging (MRI), or calipers by clinical exam. See Section 13."
1,31540,NCT02403193,"Female patients must either be of non-reproductive potential (ie, post-menopausal by history: ≥60 years old or no menses for 1 year without an alternative medical cause; OR history of complete hysterectomy, OR history of bilateral tubal ligation, OR history of bilateral oophorectomy) or must have a negative serum pregnancy test upon study entry."
1,32937,NCT02367040,"Progression free interval or treatment free interval of less than 12 months since the last rituximab-, rituximab biosimilars-, or anti-CD20 monoclonal antibody (e.g. obinutuzumab)-containing treatment(including maintenance with these drugs). For patients considered unwilling/unfit to receive chemotherapy : progression free interval or treatment free interval of less than 6 months since the last rituximab-, rituximab biosimilars-, or anti-CD20 monoclonal antibody-containing treatment (including maintenance with these drugs), as assessed by the investigator"
1,33471,NCT02353819,Sexes Eligible for Study: Male
1,33554,NCT02352467,"Ulcer of pressure/shear etiology (Stage II, III, and IV, see Appendix 9 for stage definitions)"
1,34462,NCT02334865,"Able to take aspirin (81 or 325 mg) daily for prophylactic anticoagulation (patients intolerant to acetylsalicylic acid, ASA, may use warfarin or low molecular weight heparin or other anticoagulants as deemed appropriate by physician)"
1,35237,NCT02316886,Willing and able to provide informed written consent
1,35323,NCT02315196,Must not exhibit a non-healing wound or any skin breakdown
1,35469,NCT02312596,Subject has inadequate venous access for repeated blood draw required for Eclipse RPR administrations
1,35540,NCT02311361,"Any prior Grade greater than or equal to 3 imAE while receiving immunotherapy, including anti-cytotoxic T-lymphocyte-associated protein 4 (CTLA4) treatment, or any unresolved imAE > Grade 1. Note: Active or history of vitiligo will not be a basis for exclusion."
1,35938,NCT02298790,Ages Eligible for Study: 20 Years to 60 Years   (Adult)
1,37053,NCT02261519,Subject is capable of providing informed consent and is willing to sign the ICF prior to study Screening and agrees to comply with the study protocol requirements
1,37288,NCT02252588,Not fully recovered for at least 30 days from a COPD exacerbation.
1,37884,NCT02232516,Patients with a known human immunodeficiency (HIV) infection are not eligible
1,38350,NCT02213289,No currently active second malignancy
1,38312,NCT02213575,Subjects participating in IRB approved protocol #102-2013 will be eligible to participate.
1,38424,NCT02209636,Vasculitis requiring immunosuppressive therapy within the last year
1,38717,NCT02201992,Serum aspartate aminotransferase (AST) and serum alanine aminotransferase (ALT) =< 2.5 x upper limit of normal (ULN)
1,38726,NCT02201589,"Ages Eligible for Study: 18 Years and older   (Adult, Older Adult)"
1,40804,NCT02135874,Alanine aminotransferase (ALT) (serum glutamate pyruvate transaminase [SGPT]) and/or aspartate aminotransferase (AST) (serum glutamic oxaloacetic transaminase [SGOT]) =< 3 x upper limit of normal (ULN) or =< 5 x ULN if related to disease
1,41302,NCT02124772,Subjects must meet general eligibility criteria. The specific eligibility criteria listed here will apply to subjects enrolling to different cohorts of Part B.
1,43912,NCT02020564,processing speed impairment
1,44475,NCT01993810,Peripheral neuropathy =< grade 1 at the time of registration
1,45217,NCT01959698,Accepts Healthy Volunteers: No
1,45334,NCT01954966,Have a Fagerstrom Test for Nicotine Dependence (FTND) score of at least 3 and a Carbon Monoxide (CO) level greater than or equal to 11 ppm;
1,45505,NCT01951885,"Patients with any medical illness or concurrent psychiatric illness which, in the investigators' opinion, cannot be adequately controlled with appropriate therapy"
1,45722,NCT01940757,Positive ELISA for hepatitis B surface antigen (HBsAg).
1,45883,NCT01925131,"Prior malignancy other than acute leukemia is allowed, provided it is in remission and there is no plan to treat the malignancy at the time of registration"
1,45901,NCT01923662,Full coverage of the acetabulum and minimal knee and ankle laxity
1,46036,NCT01917929,"Patient has a prior femoral fracture, with or without deformity, on the operative side."
1,46108,NCT01912612,"Diagnosis of stage 0-III breast cancer within 12 years prior to enrollment. All indicated surgery, chemotherapy, and/or radiation therapy must have been completed at least 12 weeks prior to enrollment. Concomitant endocrine therapy and targeted therapies such as palbociclib, pertuzumab, and trastuzumab are permitted."
1,46586,NCT01891318,"At the time of planning, unable to deliver 10 Gray (Gy) or less to optic nerve/chiasm"
1,47036,NCT01864109,Creatinine clearance or radioisotope GFR ≥ 70ml/min/1.73 m2 Age(Years) Maximum Serum Creatinine (mg/dL) ≤ 5 0.8 6 to ≤ 10 1 11 to ≤ 15 1.2 ≥ 16 1.5
1,47157,NCT01850758,Allergy or intolerance to study medication
1,47280,NCT01841333,Inability to swallow or absorb drug
1,47595,NCT01815619,Altered surgical anatomy
1,48076,NCT01781611,AST or ALT >3 times above normal cut off values
1,48320,NCT01758042,"Men and women of reproductive potential must agree to use a reliable method of birth control during the treatment, and women should do so for a period of 1 year following the transplant."
1,49214,NCT01681888,"Cerebral palsy, or associated movement disorders such as dystonia, spasticity, and/or hypertonia"
1,51173,NCT01464164,>/= 18 years of age
1,50489,NCT01560637,All women of childbearing potential (WOCBP) must have practiced true abstinence from intercourse when it was in line with their preferred and usual lifestyle or used 2 different forms of highly effective contraception for the duration of the study and for at least 30 days after discontinuing study medication.
1,50624,NCT01553071,Concurrent administration of any other investigational agents
1,51761,NCT01372631,"Patients considered in ""vulnerable"" populations."
1,51792,NCT01370512,History of electroconvulsive therapy.
1,52251,NCT01269853,Patients with significant inter-current medical or psychiatric conditions that would place them at increased risk or affect their ability to receive or comply with treatment or post-treatment clinical monitoring.
1,53207,NCT00919503,"Ages Eligible for Study: up to 49 Years   (Child, Adult)"
1,53961,NCT00579514,"MSKCC patients without a histologic diagnosis of cancer of the breast, bladder, kidney, colon, testicles, lungs, prostate, or lymphoid malignancy (including all types of lymphoma) will not be eligible for the AMDeC sponsored component of the study."
